STEMMA1,STEMMA1,STEMMA2,STEMMA2,STEMMA3,STEMMA3,SCD30,SCD30,SCD30,BMP388,BMP388,ME2,INA260,INA260,INA260,system clock
soil_moisture_1 (None),stemma_chip_temp_1 (C),soil_moisture_2 (None),stemma_chip_temp_2 (C),soil_moisture_3 (None),stemma_chip_temp_3 (C),CO2 (ppm),relative_humidity (percent),system_temp (C),system_pressure (hpa),system_temp (C),O2 (percent),system_voltage (V),system_current (mA),system_power (mW),time (UNIX)
failed,failed,399.9799891353557,24.55987401494166,499.9695007520997,30.455762434253717,400.07591638594937,39.95556262574073,24.913608807784325,1013.0343124714657,24.91867584595494,19.530922896389168,failed,failed,failed,1782093577.95
300.26603238270303,19.975904996231264,400.0148570896812,24.762469371339748,499.9249541611077,29.77497653255058,400.01756302149334,40.09670256550196,24.910261728168962,1012.9556184798598,25.03736285776553,19.408357503975555,12.799114059788952,1000.0440075181197,12799.677317032854,1782093578.01
299.66999022243067,20.12330113029599,399.98170454299367,24.637741646559743,499.9518051015903,29.655920747770892,400.09702113102315,39.97952857452813,24.915766241328168,1012.9983915884526,25.028809453510103,19.470217707761705,12.800383888218928,999.9947457055008,12800.316631232276,1782093578.07
299.9454499079747,20.256500868155367,399.9946741379831,24.78055393074201,500.05786316628127,29.525092660989856,400.0908504509731,39.99392364880604,24.922905718913412,1013.0700243989668,24.991738672671783,19.405438536073426,12.799712243410239,999.9897507163533,12799.58105552886,1782093578.13
299.7692891933358,19.535771255866816,400.0109470777884,25.12952379753421,499.9625764654899,29.58165025743143,400.06560408148357,39.90680773692767,24.936056446466242,1013.0119323102105,25.047691953672917,19.409669205846715,12.802979114352478,1000.0694761875926,12803.868616531172,1782093578.19
failed,failed,400.04628107263164,25.098073703327643,499.9922657101503,30.346964075027387,400.069662104138,39.92279209755236,25.08493876146123,failed,failed,failed,12.796652227134066,1000.0147004525821,12796.840343713342,1782093578.25
failed,failed,399.9659730396122,25.043426604314366,500.03103478923356,29.841559076438365,399.956840876882,40.048958584598196,24.914124034078824,failed,failed,failed,12.798897619732612,999.9384095050522,12798.109329293426,1782093578.31
300.3955537580708,20.323823069030396,399.9686212080476,24.98998516823346,500.0783144787246,29.69604208321069,400.061851684519,39.90036180930303,25.094655949777252,1012.9437522963489,25.0405491300809,19.415759203484445,12.797518862825557,999.9101094625703,12796.368486977211,1782093578.38
failed,failed,399.96072642433404,25.22875481591456,500.01885243154595,29.97786466460159,399.9680805340165,40.05354947507856,25.056608415649254,1013.0807124454284,25.00382930336666,19.586412930689768,12.804831838226614,1000.0953974472086,12806.053386495916,1782093578.44
failed,failed,399.96316003910636,25.380761979240752,failed,failed,399.96772778219855,39.96681735534463,25.028116438454816,1012.9788378970098,25.086631100629443,19.517150764745217,12.800683619148286,1000.0865257596785,12801.791208022836,1782093578.51
failed,failed,399.9521819161984,24.52145323396418,failed,failed,failed,failed,failed,1012.9339024085873,24.9281882435953,19.4498433970112,12.801764565024977,999.9550269128683,12801.188830151754,1782093578.58
