STEMMA1,STEMMA1,STEMMA2,STEMMA2,STEMMA3,STEMMA3,SCD30,SCD30,SCD30,BMP388,BMP388,ME2,INA260,INA260,INA260,system_clock
soil_moisture_1 (None),stemma_chip_temp_1 (C),soil_moisture_2 (None),stemma_chip_temp_2 (C),soil_moisture_3 (None),stemma_chip_temp_3 (C),CO2 (ppm),relative_humidity (percent),system_temp (C),system_pressure (hpa),system_temp (C),O2 (percent),system_voltage (V),system_current (mA),system_power (mW),time (UNIX)
300.2867613160175,19.897805970622045,,,500.08856148576103,30.208435326575437,399.95078960488513,39.97244755919828,25.082404451172657,1012.9765841262713,25.01210386244005,19.42142939334687,12.803010708337043,1000.0116667369613,12803.16007769529,1782276489.734688
300.25704213279164,19.771173119475645,,,500.0044715228857,30.429829176346775,399.9175884162588,40.01944497312505,25.061894738081737,1012.9037092918286,24.9080830495229,19.471754548680465,12.803121658527415,999.9610060477892,12802.622414213312,1782276490.2418282
299.97173563818365,19.899540109202363,400.05985933123134,24.77979344231175,500.0194448572131,30.10056784702549,399.9536349283784,39.911779950090654,24.93274133972453,1013.0073167642946,24.906281277656046,19.45978192286917,12.801950347525318,1000.0454372567671,12802.532033030378,1782276490.747777
299.66517069644874,20.178746517123532,400.0686108376418,25.17221008533387,499.9109643116815,30.434674345755198,889.5127397519994,40.069754948314774,24.966075294605815,1013.0565390809154,25.031115205167605,19.501079326077612,12.804640735804142,2001.5418101777504,25629.023797017184,1782276491.4092119
299.83838143115605,19.60678031689691,400.09309122167286,25.037800731798573,500.0463250696705,30.496599562106926,1398.3392140415226,40.03802365594533,25.01840245282784,1013.0818022932052,24.933146606871638,,12.80334279632989,2001.5352833006773,25626.34235104783,1782276491.916411
300.10924936492916,20.163776434647893,400.00923486329765,24.611280790764205,500.05894269681886,30.426919741165218,1422.799333511823,40.05878559546049,24.908556024392524,,,19.502579329539646,12.796461079417032,1000.0314876873224,12796.864010382335,1782276492.427218
300.3397716156278,20.31588596918054,400.0489631861603,24.61727607952134,500.0008045541274,29.74965161837926,1422.834265079161,39.91225866170626,24.972913004390573,,,19.485789498575503,12.798730416023142,1000.0477533899027,12799.341598786958,1782276492.9327831
,,400.00157782420723,25.061765493217607,500.04476827507017,30.20320533349491,1422.9388242372113,39.92276360700198,24.913060953025827,,,19.461738155590005,12.804764149809092,999.9423408264223,12804.025837690357,1782276493.438841
,,399.9752811873722,24.685236222764853,499.98228441816144,29.893676068656905,1422.7725474179636,39.994450906914224,25.04539349091812,,,19.507087329192387,12.804035237189117,999.9591625091713,12803.512352517548,1782276493.942533
299.6831243135755,20.248216737037094,,,500.0605681448154,30.066555051056273,1422.8017136565065,39.911934801734596,25.000080967760514,1012.9757213705491,24.965732891470374,19.478223449602684,12.801944443572545,1000.0390743880308,12802.444671717281,1782276494.449164
300.22220480337944,20.409759235349586,,,500.09000707458307,30.351615840634878,1422.9015659481006,40.00568170935012,24.976086964950362,1012.9480641736678,24.977695051741833,19.45665477945659,,,,1782276494.956405
