STEMMA1,STEMMA1,STEMMA2,STEMMA2,STEMMA3,STEMMA3,SCD30,SCD30,SCD30,BMP388,BMP388,ME2,INA260,INA260,INA260,system clock
soil_moisture_1 (None),stemma_chip_temp_1 (C),soil_moisture_2 (None),stemma_chip_temp_2 (C),soil_moisture_3 (None),stemma_chip_temp_3 (C),CO2 (ppm),relative_humidity (percent),system_temp (C),system_pressure (hpa),system_temp (C),O2 (percent),system_voltage (V),system_current (mA),system_power (mW),time (UNIX)
300.4349875949697,20.396630180489147,400.02527163241047,24.723996103987606,failed,failed,400.0065951843767,40.00844356442747,24.961291169766657,1012.9813945721878,25.087679143947323,19.56694742695537,12.802002677685733,999.9906367951776,12801.882809912524,1782172707.16
299.7705434039645,19.62594992990963,399.92249456125734,25.19570685952864,499.96850097588435,30.256385311973375,399.98317993465855,40.00186721325164,24.948942999836582,1013.0083805847913,25.057078419263764,19.443710121679157,12.800087363060037,1000.0080422654069,12800.19030475984,1782172707.67
299.6927004095387,19.8662069984386,399.91514631704075,24.529605382072486,499.9484936868062,30.341586033598134,399.96051221099026,39.91580220118863,24.965713592334502,1012.9118909450415,24.946037320755025,19.449728204817198,12.80491559770864,999.9292262229101,12804.009345466471,1782172708.19
299.7461066115654,20.119278816398012,399.9000057206364,24.90260461321544,499.9754248549318,30.439270226878957,883.7675164122057,39.93112703461982,25.056586605573056,1013.0176573834754,25.015086080069533,19.526191621184115,12.804717621733563,2001.6652339095658,25630.758093453253,1782172709.03
300.48400950845,20.29170863602169,399.9666162508983,24.52900003250924,499.95763875355675,29.842760865213243,1410.6769243911708,39.941319712425646,24.99763631639028,1013.0880314563179,24.961220817425026,19.564284432772105,12.803695379833488,2001.558328823713,25627.343127227414,1782172709.55
300.3718072233985,20.10716005481605,399.907204525357,24.852580651733717,500.0421575201789,30.15120089069307,1579.65487687321,39.97182526611814,24.994536936487325,1013.0738526648194,25.047646809550677,19.542900631060782,12.79811851407351,999.9719310518719,12797.759284348802,1782172710.21
300.127839985501,19.929249354174118,399.97539311918223,25.4287633280073,499.94640475056656,30.082916683382834,1579.6997116185723,40.09237512202856,25.083689103232675,1012.9032571378473,24.94509661783004,19.42980237261872,12.804207413368824,999.9728276562043,12803.859493042957,1782172710.74
failed,failed,399.9650904518725,24.812047046861785,500.01434168341484,29.75538324098272,failed,failed,failed,1013.0878422397185,24.976824366607598,19.438033041318597,12.797312478045821,1000.0016485866105,12797.333575523822,1782172711.27
failed,failed,400.0407062582769,25.23190410439333,500.0536584721573,29.851449223474965,failed,failed,failed,1012.9940347450272,25.009590828720434,19.564111830676666,12.804595867893422,1000.0607910943012,12805.374273288315,1782172711.8
299.86295006079746,19.655892257871756,399.9657593529632,25.311107509967016,499.9749373428119,30.146070060526768,failed,failed,failed,1013.0523967698515,25.039053661832735,19.470971242148828,12.795540659735618,1000.0669837259322,12796.397752724324,1782172712.32
299.5723933970824,19.783431332688938,400.06578812497304,25.429039225095394,500.0534892992389,30.29328713338663,1579.8238009377774,39.921454246947356,25.020477707412144,1012.9716341481973,24.92855058028956,19.492350023320082,12.799232610912835,999.9629877658806,12798.758882718892,1782172712.85
300.30180056983374,20.38617885404978,400.0957051844632,25.086732910116574,500.0170830543768,29.58579795359512,1579.7760198743129,39.90817052428033,24.981899858157373,failed,failed,19.517440201003435,failed,failed,failed,1782172713.38
299.6294065469139,20.39742832531024,400.07047406814195,25.400342729979233,500.04406904471665,30.401370481694606,1579.666583911772,40.06461431176584,24.912317924803656,failed,failed,19.553330461880034,failed,failed,failed,1782172713.91
failed,failed,400.0658139528311,24.541162123785956,failed,failed,1579.6760699268289,40.035741387256756,24.960848765583812,1012.9654562370032,24.99525667363006,failed,failed,failed,failed,1782172714.44
